epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0033,1.09666,2.55302,0.96013,0.00223,0.85714,0.85516,0.65961,1.1111,3.47396,0.94628,0.00048,0.00048,0.00048
2,39.0646,1.13771,1.60924,0.99599,0.00211,0.85714,0.85515,0.58243,1.2188,3.33285,0.95992,0.000970298,0.000970298,0.000970298
3,55.615,1.23108,1.5174,1.0013,1,0.56603,0.85515,0.47901,1.28494,3.05433,0.9462,0.0014507,0.0014507,0.0014507
4,72.3596,1.1775,1.30872,0.99542,1,0.83333,0.85515,0.61988,1.1694,2.78996,0.94061,0.00192119,0.00192119,0.00192119
5,89.5081,1.11568,1.2681,0.97031,0.002,0.85714,0.17761,0.12508,1.66686,3.96194,1.31093,0.0019208,0.0019208,0.0019208
6,107.417,1.09298,1.20051,0.97472,0.85085,0.81942,0.83515,0.64924,1.44405,2.62656,1.07555,0.001901,0.001901,0.001901
7,125.764,1.08026,1.12766,0.99329,0.98271,0.71429,0.80848,0.6058,1.04189,2.33565,0.91329,0.0018812,0.0018812,0.0018812
8,142.064,1.03259,1.13642,0.95829,0.97515,0.71429,0.82015,0.64846,1.13763,2.07194,0.97293,0.0018614,0.0018614,0.0018614
9,159.648,1.05157,1.02039,0.98001,0.95102,0.71429,0.80848,0.67113,1.1025,2.20923,0.9756,0.0018416,0.0018416,0.0018416
10,177.613,0.96677,1.01725,0.9819,0.97971,0.71429,0.77115,0.57516,1.14469,2.5114,0.95026,0.0018218,0.0018218,0.0018218
11,194.183,1.02376,1.03232,0.94894,0.97695,0.71429,0.78515,0.60437,1.14304,2.30497,0.95596,0.001802,0.001802,0.001802
12,211.713,0.96749,0.92453,0.98402,0.98151,0.71429,0.82015,0.61678,1.17683,1.88495,0.97696,0.0017822,0.0017822,0.0017822
13,229.307,0.96776,0.93393,0.95152,0.98116,0.71429,0.79915,0.56946,1.30648,2.06476,1.02089,0.0017624,0.0017624,0.0017624
14,246.534,0.9865,0.91442,0.94645,0.97077,0.71429,0.78515,0.59563,1.28935,2.22564,1.01343,0.0017426,0.0017426,0.0017426
15,264.292,0.98571,0.91934,0.97717,0.9509,0.71429,0.77976,0.52507,1.3188,2.16042,1.03639,0.0017228,0.0017228,0.0017228
16,282.036,0.99183,0.87132,0.95666,0.92037,0.71429,0.79151,0.49707,1.27858,2.03542,1.02783,0.001703,0.001703,0.001703
17,299.842,0.92827,0.87003,0.93421,0.93252,0.71429,0.82015,0.5834,1.17524,1.86024,0.9929,0.0016832,0.0016832,0.0016832
18,317.486,0.96328,0.84488,0.95138,0.85398,0.83818,0.83515,0.62687,1.2683,1.79638,1.03392,0.0016634,0.0016634,0.0016634
19,335.59,0.93826,0.87862,0.95751,0.98474,0.71429,0.80848,0.60489,1.09794,1.84623,0.97766,0.0016436,0.0016436,0.0016436
20,353.245,0.91841,0.80583,0.93587,0.9765,0.71429,0.76456,0.56319,1.17352,2.22917,1.00723,0.0016238,0.0016238,0.0016238
21,372.46,0.96736,0.77132,1.00166,0.96669,0.71429,0.76456,0.59017,1.27133,2.26377,1.06755,0.001604,0.001604,0.001604
22,390.822,0.93853,0.78723,0.98746,0.98692,0.71429,0.82015,0.62008,1.28719,2.02825,1.06884,0.0015842,0.0015842,0.0015842
23,409.609,0.90088,0.79948,0.98078,0.98814,0.71429,0.83515,0.63267,1.21805,1.87815,1.03954,0.0015644,0.0015644,0.0015644
24,428.377,0.9598,0.80299,0.96072,0.98846,0.71429,0.80848,0.61163,1.35105,1.8565,1.08259,0.0015446,0.0015446,0.0015446
25,445.151,0.90749,0.73982,0.93901,0.98897,0.71429,0.82015,0.6183,1.33709,1.81935,1.07583,0.0015248,0.0015248,0.0015248
26,462.764,0.89775,0.72694,0.93401,0.99016,0.71429,0.75936,0.59013,1.33466,2.12204,1.0967,0.001505,0.001505,0.001505
27,479.663,0.87459,0.71057,0.92488,0.9897,0.71429,0.75167,0.56908,1.17759,2.09996,1.0305,0.0014852,0.0014852,0.0014852
28,497.285,0.88282,0.69596,0.9284,0.98446,0.71429,0.76456,0.5855,1.30338,1.99716,1.08567,0.0014654,0.0014654,0.0014654
29,514.513,0.89146,0.71408,0.93778,0.96603,0.71429,0.76456,0.5607,1.29389,1.93446,1.08877,0.0014456,0.0014456,0.0014456
30,531.536,0.88709,0.70328,0.91556,0.97258,0.71429,0.74315,0.57437,1.15962,1.9483,1.03624,0.0014258,0.0014258,0.0014258
31,549.368,0.90594,0.70197,0.92935,0.97503,0.71429,0.77515,0.61945,1.10635,1.82505,1.02792,0.001406,0.001406,0.001406
32,574.934,0.91569,0.68412,0.9459,0.97765,0.71429,0.80848,0.64556,1.06153,1.74279,1.02749,0.0013862,0.0013862,0.0013862
33,601.708,0.84833,0.67879,0.92243,0.98436,0.71429,0.77977,0.61737,1.20289,1.74221,1.01689,0.0013664,0.0013664,0.0013664
34,625.549,0.88883,0.66046,0.93717,0.98627,0.71429,0.77978,0.56336,1.22294,1.70878,1.02429,0.0013466,0.0013466,0.0013466
35,652.016,0.88964,0.6433,0.92535,0.98972,0.71429,0.83517,0.64999,1.30017,1.66391,1.10182,0.0013268,0.0013268,0.0013268
36,679.797,0.89406,0.64641,0.91685,0.98909,0.71429,0.82018,0.63545,1.26452,1.72471,1.0874,0.001307,0.001307,0.001307
37,707.689,0.851,0.66814,0.93973,0.98871,0.71429,0.76769,0.59094,1.25807,1.90368,1.04782,0.0012872,0.0012872,0.0012872
38,735.064,0.85482,0.63052,0.89628,0.98675,0.71429,0.77521,0.60165,1.38234,1.89982,1.07299,0.0012674,0.0012674,0.0012674
39,762.701,0.8967,0.63324,0.94711,0.98391,0.71429,0.79158,0.6079,1.3907,1.78061,1.08304,0.0012476,0.0012476,0.0012476
40,790.639,0.90179,0.65769,0.94325,0.97383,0.71429,0.77983,0.61065,1.25842,1.64767,1.04007,0.0012278,0.0012278,0.0012278
41,816.996,0.86249,0.6155,0.93081,0.97785,0.71429,0.79922,0.62584,1.44075,1.68054,1.1109,0.001208,0.001208,0.001208
